"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"6","AND","2020-11-30","11","29","2020","334","2020-11-30","42","0","Andorra","76177","Europe","1102.695","6712","76","4.344","76","0","Europe & Central Asia","1.945","","","","0.077","","","","","163.843","","59.714","","","","","","","30.686","","","","","","","","","","","","20.662","","0","","","","","","1122","1122","0.001","","0","","","","0","","","0.714","0.233","","","","30.5","163.843","","4.197","14.2","369","250","100","94.7","100","2446","0.9","9.2","30.5","","","","-2.564","5.099","","","","","","","","","","","","","","","","","","","","","","","","15.1","110.167","","","","","","986.936","6.896","","","AND","76","258","91","243"
"7","ARE","2020-11-30","11","29","2020","334","2020-11-30","1251","1","United Arab Emirates","9770526","Asia","178.169","167753","570","6.347","552","0.038","Middle East & North Africa","1.431","161.84","","66.616","9.631","68980","35562","18.375","10385286000","135.609","59.972","88.404","13.131","","6.81","","14.604","-8","","0.211","0.422","0","0","-2.861","-1.882","1.815","0.376","1.888","0.124","","","","0","-0.498","1","0","","","","2000","0","","0","87","","","0","30","0.097","0.625","0.331","0.737","0.348","100","46.7","135.609","77.647","3.288","31.6","155.8","120","90","70.3","100","1845","0.9","22.9","49.7","5","","1.085","2.265","4.91","","","","","","","","","","","","","-50.2","","","","","","","","","","","32.767","0.8","","","","","","59.184","4.097","","","ARE","52","282","95","239"
"10","ATG","2020-11-30","11","29","2020","334","2020-11-30","0","0","Antigua & Barbuda","97115","America","7.208","141","4","1.609","4","0","Latin America & Caribbean","-0.006","","","23.841","0.096","3904","4570","13.271","135127898.77","218.832","","30.586","0","","","","22.081","","","","","","","","","","","","","","","","0","","","","","","1115","1115","0.001","","0","","","","0","30.5","","0.164","0.684","","","51.1","29","218.832","76.752","3.271","19.1","15.8","380","99","69.8","87.5","591","0.8","7.4","21.7","","","8.801","-2.34","5.388","","","","","","","","","","","","","-42","","","","","","","","","","","27.5","243.2","","","","","","41.543","3.751","","","ATG","94","240","",""
"12","AUT","2020-11-30","11","29","2020","334","2020-11-30","3907","82","Austria","8858775","Europe","843.096","278182","2904","7.974","2199","0.31","Europe & Central Asia","1.453","107.79","","46.26","8.841","726772","953036","16.375","4220346205.723","107.207","21.482","17.466","0.032","","33.536","","14.298","10","27.75","0.131","0.258","1","0.006","2.16","1.708","2.803","0.78","2.06","0.045","47.851","","","0","0.738","4","2","","774","1664","774","0.001","5.398","1","2","","","0","42.7","0.757","0.107","0.415","0.126","3.722","99.3","58.5","107.207","81.641","4.173","73.2","523","760","99.9","93.9","100","3840","0.9","46.6","42.3","0","1","19.001","2.179","4.675","","","","","","","","","","","","","-22.2","","","","","","","","","","","14.3","104.667","","","","","","328.487","5.798","","","AUT","60","274","82","252"
"14","BDI","2020-11-30","11","29","2020","334","2020-11-30","0","0","Burundi","11530577","Africa","0.468","681","1","0.693","1","0","Sub-Saharan Africa","-1.42","38.265","","0.66","11.175","110024","141082","","983747.125","435.178","","2.566","0","","","","45.502","-1","38.65","0.258","0.501","0","0","-1.471","-2.441","-0.139","0.268","-2.408","0.946","","55.569","","0","0.37","","0","70","70","70","70","0.014","","0","","","","0","17.6","0.052","0.295","0.516","0.328","1.664","28.4","22.8","435.178","60.898","2.431","11.4","2.6","80","61.6","27.4","50.5","15","0.4","8.9","28.4","21","1","2.247","2.414","6.076","","","","","","","","","","","","","","","","","","","","","","","","20.9","47.2","","","","","","0.089","0.086","","","BDI","113","221","",""
"15","BEL","2020-11-30","11","29","2020","334","2020-11-30","4","11","Belgium","11455519","Europe","333.595","576503","16547","9.714","15864","0.051","Europe & Central Asia","1.172","165.315","","43.582","11.433","938426","1209716","16.428","-62826327313.984","377.215","26.98","12.284","0","","36.062","","17.055","8","25.25","0.492","0.955","1","0.01","2.492","2.237","2.472","0.9","2.583","0.045","","","","0","0.738","4","","1603","","1542","1542","0.001","6.498","1","","","","0","41.6","0.792","0.555","0.213","0.567","3.88","99","61","377.215","81.439","4.279","62.5","301.1","620","99.9","92.9","99.5","3926","0.9","60.5","47.3","2","1","18.789","2.437","5.933","","","","","","","","","","","","","-31.8","","","","","","","","","","","16","53.267","","","","","","1447.269","7.278","","","BEL","60","274","74","260"
"16","BEN","2020-11-30","11","29","2020","334","2020-11-30","0","0","Benin","11801151","Africa","1.102","2974","43","3.784","43","0","Sub-Saharan Africa","-0.566","79.574","","2.152","11.485","158294","215381","","207510854.998","101.854","","2.256","0.133","","","","42.448","7","45.867","0.778","0.668","0","0","-0.283","0.537","-0.143","0.878","0.063","0.385","","31.991","","0","0.741","3","","","360","1145","360","0.003","","0","","","","0","18.4","0.605","0.787","0.554","0.622","2.24","9","28.8","101.854","61.174","2.791","24.2","15.3","50","32.9","30.8","13.9","17","0.5","5.6","34.1","10","1","3.254","2.441","4.624","","","","","","","","","","","","","-9","","","","","","","","","","","26.767","187.567","","","","","","3.744","1.557","","","BEN","92","242","170","164"
"17","BES","2020-11-30","11","29","2020","334","2020-11-30","0","0","Caribbean Netherlands","25983","America","23.092","161","3","1.386","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BES","198","136","",""
"18","BFA","2020-11-30","11","29","2020","334","2020-11-30","40","0","Burkina Faso","20321383","Africa","1.088","2856","68","4.234","68","0","Sub-Saharan Africa","-0.578","68.03","","1.761","19.752","186791","288625","11.929","480001741.859","72.191","12.816","3.892","0","2.186","","2.287","44.948","6","42.6","0.442","0.884","0","0","1.252","1.425","-0.76","0.63","2.753","0.449","","32.13","","0","","3","0","","256","256","256","0.004","","0","","","","0","17.1","0.541","0.738","0.58","0.704","2.67","1","30.1","72.191","60.768","3.106","33.3","4.7","40","34.6","30.1","22.5","46","0.4","5.6","38","16","1","2.407","2.983","4.279","","","","","","","","","","","","","-13.8","","","","","","","","","","","27.967","164.633","","","","","","3.443","1.491","","","BFA","76","258","90","244"
"19","BGD","2020-11-30","11","29","2020","334","2020-11-30","1788","29","Bangladesh","163046173","Asia","18.445","462407","6609","8.796","6388","0.036","South Asia","-0.748","38.245","","3.879","161.356","4204605","4118771","15.605","2940222419.732","1239.579","15.118","0.884","0.017","1.499","","13.092","27.706","-6","35.114","0.189","0.373","0","0","1.53","-1.13","-2.096","0.75","-0.758","0.891","","","","0","-0.997","3","0","","","1389","1389","0.001","","1","","","","0","25.1","0.144","0.045","0.209","0.223","2.838","1.4","35","1239.579","72.052","3.894","50.9","47.2","80","72.9","47.6","46.9","16","0.6","14.7","23.1","11","0","5.158","5.084","7.123","","","","","","","","","","","","","-50.4","","","","","","","","","","","27.533","203.6","","","","","","40.959","3.737","","","BGD","78","256","97","237"
"20","BGR","2020-11-30","11","29","2020","334","2020-11-30","739","65","Bulgaria","7000039","Europe","631.925","142486","3814","8.247","2880","0.329","Europe & Central Asia","0.272","131.251","","19.321","7.025","595668","881156","13.838","1222580000","64.704","18.115","1.428","0.008","","25.539","","14.595","9","33.913","0.298","0.515","2","0.15","0.523","0.768","1.165","0.861","0.207","0.666","0.825","19.439","","1","0.242","5","","","605","430","430","0.002","7.71","0","","","","0","43","0.633","0.402","0.597","0.299","2.416","87","45.6","64.704","74.812","2.741","53.3","399.9","680","98.4","77.2","86","798","0.8","41","21.7","2","1","21.022","1.949","4.17","","","","","","","","","","","","","-22.4","","","","","","","","","","","18.8","19.633","","","","","","542.915","6.299","","","BGR","72","262","92","242"
"21","BHR","2020-11-30","11","29","2020","334","2020-11-30","142","0","Bahrain","1641164","Asia","126.983","86787","341","5.835","338","0.009","Middle East & North Africa","0.18","151.593","","41.973","1.569","20433","17635","15.587","111170212.766","2017.274","","51.127","2.012","","","","19.254","-10","48","0.605","0.895","0","0","-1.704","-1.537","1.12","0.68","-0.919","0.521","","33.5","","0","-0.78","","","","","994","994","0.001","","0","1","","","0","30.1","0.036","0.502","0.553","0.551","0.494","100","39.4","2017.274","77.032","3.345","45.8","92.2","200","94.9","72","100","1145","0.8","27.7","43.2","9","0","2.426","0.451","7.61","","","","","","","","","","","","","-29.6","","","","","","","","","","","35","0","","","","","","217.275","5.386","","","BHR","56","278","134","200"
"22","BHS","2020-11-30","11","29","2020","334","2020-11-30","0","0","Bahamas","389486","America","79.592","7496","163","5.1","163","0","Latin America & Caribbean","0.539","77.35","","28.472","0.386","12222","15764","13.995","491404689.23","38.525","","15.284","0","","","","22.485","","44.075","0.265","0.48","0","0","","","","","","","","","","0","-0.875","4","0","","","780","780","0.001","","0","","","","0","31.8","","0.423","0.681","","","100","30.6","38.525","73.554","3.336","21.8","226.3","290","99.9","66.4","92","716","0.8","7.9","30.9","","0","7.257","-0.953","3.651","","","","","","","","","","","","","-40.6","","","","","","","","","","","28.3","132.467","","","","","","422.674","6.049","","","BHS","88","246","114","220"
"24","BLZ","2020-11-30","11","29","2020","334","2020-11-30","96","3","Belize","390351","America","225.95","5743","147","4.997","116","0.286","Latin America & Caribbean","-0.594","115.71","","7.674","0.383","9299","8842","14.076","119541646.955","16.794","","14.991","0.566","","0.057","","30.28","","","0.635","0.791","2","0.174","","","","","","","","","","0","-1.029","3","0","","","264","264","0.004","","0","","","","0","23","","0.702","0.581","","","25","31.8","16.794","74.365","3.496","30.4","82.8","130","94.2","55.7","87.2","359","0.7","9.7","25.5","","0","4.736","-0.96","2.821","","","","","","","","","","","","","-42.4","","","","","","","","","","","27.033","291.6","","","","","","383.741","5.953","","","BLZ","101","233","237","97"
"25","BMU","2020-11-30","11","29","2020","334","2020-11-30","0","0","Bermuda","62508","America","46.394","251","9","2.303","9","0","North America","1.388","","","","0.064","","","","95689121.5","1184.593","","30.846","","","","","","","","","","","","","","","","","","","","","0","","","","","","859","859","0.001","","0","","","","0","","","","","","","","","1184.593","81.442","3.095","","","","","","","","","","","","","","-2.749","7.077","","","","","","","","","","","","","","","","","","","","","","","","25.767","95.533","","","","","","140.684","4.954","","","BMU","86","248","",""
"28","BRB","2020-11-30","11","29","2020","334","2020-11-30","5","0","Barbados","287021","America","8.71","275","7","2.079","7","0","Latin America & Caribbean","0.427","82.88","","16.464","0.287","19933","25362","","195096000","666.607","","12.13","0.055","","0.022","","17.343","","46.5","0","0","0","0","2.279","2.687","2.263","0.804","1.721","0.099","","","","0","-0.875","4","0","","","1176","1176","0.001","","1","","","","0","36.9","0.661","0.142","0.693","","3.675","100","31.9","666.607","78.981","3.179","19.1","181.1","580","99.6","70.8","96.5","607","0.8","8.5","27.2","","0","15.802","-1.25","6.502","","","","","","","","","","","","","-52.2","","","","","","","","","","","27.067","265.5","","","","","","24.421","3.236","","","BRB","81","253","",""
"29","BRN","2020-11-30","11","29","2020","334","2020-11-30","0","0","Brunei","433296","Asia","0.462","150","3","1.386","3","0","East Asia & Pacific","1.253","93.896","","71.802","0.429","10167","10735","14.026","511497137.754","81.397","","24.276","8.837","","","","23.026","","","0.618","0.751","0","0","","","","","","","","","","0","","1","0","","","","2000","0","","0","","","","0","30.5","","0.542","0.44","","","100","32.6","81.397","75.585","4.146","30.5","174.6","270","96.1","76.4","96.3","1720","0.9","24.2","33.4","","","4.873","-0.846","4.399","","","","","","","","","","","","","","","","","","","","","","","","27.767","209.633","","","","","","6.994","2.079","","","BRN","71","263","",""
"30","BTN","2020-11-30","11","29","2020","334","2020-11-30","0","0","Bhutan","763094","Asia","2.752","396","0","0","0","","South Asia","0.359","86.712","","9.208","0.754","24889","20399","12.528","2649712.662","19.778","","6.596","0","0.712","-0.188","2.252","25.771","7","40.55","0.72","0.768","1","0.4","0.866","1.943","1.769","0.77","1.938","0.151","","","","0","-0.378","1","0","1145","","1329","1145","0.001","","0","","","","0","25.8","0.478","0.605","0.379","0.605","3.567","90","40.3","19.778","71.129","3.253","42.8","38.1","170","57","47.3","62.9","217","0.6","27.9","42","6","0","6.003","-0.282","2.985","","","","","","","","","","","","","","","","","","","","","","","","11.9","148.733","","","","","","0","0","","","BTN","132","202","",""
"31","BWA","2020-11-30","11","29","2020","334","2020-11-30","0","0","Botswana","2303703","Africa","76.703","9992","31","3.466","31","0","Sub-Saharan Africa","0.333","77.121","","16.518","2.254","38614","56616","12.443","228718290.832","3.977","","7.1","0","","","","34.113","8","58.05","0.606","0.773","7","0.088","0.359","0.786","0.644","0.783","2.272","0.238","","10.969","","0","-0.134","2","0","","","1687","1687","0.001","","0","","","","0","22.5","0.619","0.41","0.599","0.351","3.173","","31.1","3.977","68.812","3.352","28.2","38.4","180","87.7","51.5","60","521","0.7","13.3","23.9","3","0","4.225","0.813","1.381","","","","","","","","","","","","","-50.6","","","","","","","","","","","21.7","6.033","","","","","","13.753","2.691","","","BWA","100","234","254","80"
"32","CAF","2020-11-30","11","29","2020","334","2020-11-30","0","0","Central African Republic","4745179","Africa","0.358","4913","63","4.159","63","0","Sub-Saharan Africa","-1.72","65.864","","0.763","4.666","52386","79480","","17994743.843","7.49","","1.665","0","","1.091","","44.294","6","","0.641","0.827","0","0","2.424","0.123","-1.976","0.391","-0.684","0.781","","","","0","-0.997","3","","","","291","291","0.003","","0","","","","0","19.7","0.221","0.83","0.792","0.791","3.043","6","27.3","7.49","52.24","4.919","17.7","4.7","100","36.8","18.6","25.1","4","0.4","12.8","46.6","23","0","2.826","1.54","2.014","","","","","","","","","","","","","","","","","","","","","","","","24.5","185.3","","","","","","13.501","2.674","","","CAF","99","235","167","167"
"33","CAN","2020-11-30","11","29","2020","334","2020-11-30","5468","56","Canada","37411038","America","198.34","370278","12032","9.395","11455","0.05","North America","1.716","66.224","","44.078","37.058","2927422","3458504","18.308","46542783393.979","4.075","45.933","21.802","0.894","","21.619","","15.87","10","30.75","0.578","0.806","1","0.043","2.115","3.004","2.218","0.866","2.306","0.034","51.245","41.111","","0","0.763","4","0","","","1314","1314","0.001","5.055","0","","251","","1","40.1","0.785","0.712","0.696","0.596","3.821","100","75.3","4.075","82.249","4.229","96.4","253.9","270","99.9","93.8","98.5","3465","0.9","67.7","60.7","0","0","17.232","3.612","1.405","","","","","","","","","","","","","-27.4","","","","","","","","","","","3.867","54.767","","","","","","324.682","5.786","","","CAN","55","279","79","255"
"34","CHE","2020-11-30","11","29","2020","334","2020-11-30","0","0","Switzerland","8544527","Europe","711.929","317017","4236","8.352","3567","0.188","Europe & Central Asia","2.04","120.033","","59.317","8.513","712120","873315","17.178","-67677224099.78","215.521","16.095","29.387","0","","36.699","","14.911","10","28.637","0.541","0.785","0","0","2.454","3.063","2.345","0.877","2.752","0.02","110.551","49.429","","0","0.763","3","","1329","","1329","1329","0.001","5.226","0","","1","","0","42","0.838","0.531","0.608","0.575","3.708","100","67","215.521","83.602","4.203","59.1","424.8","470","99.9","95.6","99.9","4939","0.9","62.5","79.3","1","1","18.623","2.142","5.373","","","","","","","","","","","","","-14.6","","","","","","","","","","","12.967","100.567","","","","","","497.579","6.212","","","CHE","59","275","74","260"
"37","CIV","2020-11-30","11","29","2020","334","2020-11-30","49","0","Côte d’Ivoire","25716554","Africa","1.419","21310","131","4.883","131","0.016","Sub-Saharan Africa","-0.571","59.044","","3.733","25.069","378415","338298","13.566","912856300.821","78.834","19.629","9.583","1.006","7.923","","27.229","41.937","4","50.917","0.773","0.667","1","0.11","0.461","0.306","-0.713","0.474","0.974","0.451","","10.883","","0","-0.377","2","0","295","228","295","228","0.004","","0","","","","0","19","0.375","0.82","0.755","0.784","2.139","1.2","35.5","78.834","57.017","3.255","44.5","14.4","40","43.9","27.3","29.9","42","0.5","17.1","29.7","16","0","2.859","3.222","4.367","","","","","","","","","","","","","-14","","","","","","","","","","","25.833","194.833","","","","","","5.226","1.829","","","CIV","80","254","111","223"
"38","CMR","2020-11-30","11","29","2020","334","2020-11-30","0","0","Cameroon","25876387","Africa","6.554","24117","437","6.082","435","0.005","Sub-Saharan Africa","-0.8","43.011","","3.359","25.216","306085","382035","12.488","765138128.211","53.344","28.029","1.636","2.545","3.408","1.457","0.874","42.632","-4","44.96","0.836","0.535","0","0","0.82","-0.354","-1.245","0.817","0.271","0.931","","17.042","","0","","2","0","1115","2036","1815","1115","0.001","","0","","","","0","18.3","0.155","0.863","0.734","0.887","1.757","2","34.4","53.344","58.511","3.626","35.6","8.3","130","71.3","31.9","38.8","23","0.6","21.4","29.5","16","1","2.729","3.227","3.977","","","","","","","","","","","","","-14","","","","","","","","","","","24.367","209.567","","","","","","17.33","2.909","","","CMR","77","257","99","235"
"39","COD","2020-11-30","11","29","2020","334","2020-11-30","94","0","Congo - Kinshasa","86790568","Africa","1.085","12701","332","5.808","327","0.015","Sub-Saharan Africa","-1.555","70.962","","0.827","84.068","1144474","1392567","13.745","1284643393.848","37.083","24.099","0.706","0.586","1.6","","9.99","46.166","-3","43.8","0.89","0.376","4","0.393","0.356","-0.084","-1.477","0.184","-0.198","0.766","","","","0","","5","","1481","","1390","1390","0.001","","0","","","","0","17.4","0.12","0.875","0.702","0.933","1.694","10","26.5","37.083","60.026","3.852","25.1","9.1","80","77","29.6","19.7","4","0.5","11.8","31.3","24","1","3.018","4.432","3.613","","","","","","","","","","","","","","","","","","","","","","","","24.333","127.3","","","","","","3.949","1.599","","","COD","78","256","92","242"
"40","COG","2020-11-30","11","29","2020","334","2020-11-30","0","0","Congo - Brazzaville","5380504","Africa","7.341","5774","94","4.554","92","0.022","Sub-Saharan Africa","-1.217","154.911","","5.024","5.244","59957","80678","12.719","4313143665.014","15.357","64.208","8.506","36.734","","","","41.764","-4","47.95","0.742","0.707","3","0.38","0.153","-0.354","-0.895","0.211","-1.255","0.682","","","","0","-0.069","4","0","1268","374","872","374","0.003","","0","","","","0","18.8","0.106","0.875","0.664","0.878","2.285","","23.6","15.357","63.954","3.942","7","9.5","160","79.3","34.1","15","111","0.6","6.3","23.6","13","0","2.682","1.657","2.732","","","","","","","","","","","","","","","","","","","","","","","","24.833","118.5","","","","","","17.924","2.94","","","COG","88","246","122","212"
"42","COM","2020-11-30","11","29","2020","334","2020-11-30","0","0","Comoros","850891","Africa","3.761","611","7","2.079","7","0","Sub-Saharan Africa","-1.639","43.095","","2.585","0.832","11402","13629","","6859922.781","447.244","","1.592","0","","","","39.538","-3","54.85","0.546","0.952","0","0","0.629","1.345","0.289","0.73","-0.778","0.766","","","","0","0.289","3","","","1474","1775","1474","0.001","","0","","","","0","19.1","0.311","0","0.014","","3.004","","27.2","447.244","63.912","3.363","23.2","19","220","49.2","33","34.2","17","0.5","9.4","27.1","12","0","3.007","-0.184","6.103","","","","","","","","","","","","","","","","","","","","","","","","25.467","29.3","","","","","","8.41","2.242","","","COM","130","204","",""
"43","CPV","2020-11-30","11","29","2020","334","2020-11-30","0","0","Cape Verde","549936","Africa","135.652","10526","104","4.654","104","0","Sub-Saharan Africa","0.319","116.987","","6.614","0.544","8902","16164","11.852","107974093.736","134.93","","2.867","0","","18.084","","28.778","10","49.917","0","0","0","0","1.604","1.765","0.556","0.831","1.204","0.247","","7.433","","0","","3","0","","570","374","374","0.003","","0","","","","0","24.2","0.714","0.417","0.077","","3.561","","29.3","134.93","72.57","2.79","9.3","78.8","210","86.8","54.8","65.2","197","0.7","16.1","32.7","5","1","4.61","-0.609","4.905","","","","","","","","","","","","","-50.6","","","","","","","","","","","25.667","75.167","","","","","","191.258","5.259","","","CPV","103","231","178","156"
"45","CUB","2020-11-30","11","29","2020","334","2020-11-30","60","1","Cuba","11333484","America","5.673","8233","134","4.905","132","0.008","Latin America & Caribbean","-0.245","27.095","","","11.338","787812","934031","13.237","","109","18.843","0.117","0.269","","","","16.211","-5","","0.46","0.92","0","0","-1.505","-1.006","1.999","0.27","-0.938","0.841","","","","0","-0.686","1","0","","","1095","1095","0.001","","0","","","","0","40.1","0.078","0.591","0.506","0.213","0.446","100","35.2","109","78.662","3.164","10.5","751.9","520","99.8","75.5","90.8","2202","0.8","37.4","25.9","5","1","15.186","2.428","4.691","","","","","","","","","","","","","","","","","","","","","","","","27.833","143.567","","","","","","11.819","2.551","","","CUB","78","256","98","236"
"46","CUW","2020-11-30","11","29","2020","334","2020-11-30","106","0","Curaçao","163423","America","626.595","2364","4","1.609","3","0.333","Latin America & Caribbean","","","","24.617","0.16","11113","15553","","126888268.156","","","23.925","","","","","18.884","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","","","","","","","","78.017","","","","","","","","","","","","","","16.687","-1.834","","","","","","","","","","","","","","","","","","","","","","","","","29.733","113.833","","","","","","25.031","3.259","","","CUW","91","243","",""
"47","CYM","2020-11-30","11","29","2020","334","2020-11-30","0","0","Cayman Islands","64948","America","30.794","274","2","1.099","2","0","Latin America & Caribbean","1.204","","","","0.064","","","","57383579000","267.392","","39.565","","","","","","","","","","","","","","","","","","","","","0","","","","","","439","439","0.002","","0","","","","0","","","","","","","","","267.392","","","","","","","","","","","","","","","","-2.746","5.589","","","","","","","","","","","","","","","","","","","","","","","","28.967","143.533","","","","","","31.165","3.471","","","CYM","90","244","",""
"49","CZE","2020-11-30","11","29","2020","334","2020-11-30","1074","84","Czechia","10649800","Europe","559.701","519723","8138","9.004","7196","0.135","Europe & Central Asia","0.922","150.389","","33.436","10.63","868331","1196119","15.561","8493644233.844","137.603","12.155","3.842","0.009","","46.29","","15.587","9","25.1","0.054","0.109","0","0","1.076","1.966","3.021","0.887","1.336","0.273","21.399","","","1","0.43","5","0","234","1037","599","234","0.004","5.524","0","","","","0","40.3","0.758","0.322","0.659","0.322","3.404","100","52","137.603","79.476","2.784","50.7","367.7","650","99.9","89","99.1","2034","0.9","37.4","46.6","1","1","19.421","2.364","4.924","","","","","","","","","","","","","-3.6","","","","","","","","","","","15.8","47.6","","","","","","765.574","6.642","","","CZE","65","269","88","246"
"51","DJI","2020-11-30","11","29","2020","334","2020-11-30","1","0","Djibouti","973557","Africa","2.876","5677","61","4.127","61","0","Middle East & North Africa","-0.899","327.658","","","0.959","20919","22501","","265000000","41.368","","12.654","0","8.502","","9.525","29.574","3","42.525","0.56","0.906","0","0","-0.845","-1.198","-1.097","0.556","-0.058","0.74","","","","0","","1","0","","393","1079","393","0.003","","0","","","","0","22.8","0.127","0.796","0.043","0.606","1.206","30","23.2","41.368","65.893","3.353","17","22.9","140","52.5","35","51.4","56","0.5","9.3","23.2","12","1","4.528","-0.042","3.723","","","","","","","","","","","","","","","","","","","","","","","","30.4","22.733","","","","","","63.613","4.168","","","DJI","85","249","142","192"
"52","DMA","2020-11-30","11","29","2020","334","2020-11-30","0","0","Dominica","71808","America","23.674","85","0","0","0","","Latin America & Caribbean","-0.29","108.022","","9.876","0.072","","","","13286694.995","95.5","","9.246","0","","","","","","44.6","","","","","","","","","","","","","","0","","","","","","1731","1731","0.001","","0","","","","0","","","0.2","0.463","","","13.4","24","95.5","","3.257","10.7","178","380","94.2","61.9","77.9","373","0.7","8.5","20.9","","","","-2.636","4.559","","","","","","","","","","","","","","","","","","","","","","","","23.667","344.8","","","","","","0","0","","","DMA","86","248","",""
"53","DNK","2020-11-30","11","29","2020","334","2020-11-30","998","6","Denmark","5806081","Europe","296.517","79352","829","6.721","784","0.054","Europe & Central Asia","1.872","105.236","","48.419","5.794","529516","618373","","1166205135.197","138.067","22.783","10.099","0.383","","2.168","","16.458","10","25.512","0","0","0","0","2.447","3.029","2.16","0.912","2.964","0.016","42.215","","","0","1.512","6","2","","","1193","1193","0.001","3.801","1","","","","0","41.1","0.834","0.082","0.233","0.128","3.847","100","70.4","138.067","81.005","4.221","86","365.5","250","99.9","92.1","99.6","4284","0.9","63.8","58.4","0","1","19.813","1.757","4.928","","","","","","","","","","","","","18.2","","","","","","","","","","","14.2","66.033","","","","","","143.088","4.97","","","DNK","64","270","81","253"
"58","ERI","2020-11-30","11","29","2020","334","2020-11-30","0","0","Eritrea","3497117","Africa","2.402","577","0","0","0","","Sub-Saharan Africa","-1.728","","","","","","","11.54","61015000","","","","","","","","","-7","","0.613","0.869","0","0","-2.149","-2.498","0.612","0.092","-2.05","0.697","","","","0","-1.029","1","0","","","","","","","0","","","","0","18.4","0.013","0.652","0.425","0.647","0.174","","22.4","","65.538","3.369","17.2","5.3","70","64.7","27.6","11.3","16","0.4","9.7","16","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.133","64.267","","","","","","","","","","ERI","89","245","",""
"59","ESH","2020-11-30","11","29","2020","334","2020-11-30","0","0","Western Sahara","582458","Africa","0","766","1","0.693","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.467","3.433","","","","","","","","","","ESH","150","184","",""
"61","ETH","2020-11-30","11","29","2020","334","2020-11-30","604","5","Ethiopia","112078727","Africa","6.08","109534","1700","7.439","1647","0.036","Sub-Saharan Africa","-0.607","31.166","","1.794","109.225","1769192","2054879","16.258","3360419368.653","109.225","4.028","1.08","0","","","13.248","40.783","1","34.017","0.759","0.687","2","0.011","0.758","1.052","-0.059","0.146","0.156","0.394","","22.526","","0","0.79","3","0","234","1689","171","171","0.006","","0","","","","0","18.2","0.095","0.723","0.625","0.76","3.092","","40.6","109.225","65.872","2.64","33.7","2.2","30","29.8","28.1","7.1","19","0.5","29","44.7","20","0","3.501","4.693","4.693","","","","","","","","","","","","","","","","","","","","","","","","22.567","111.3","","","","","","15.564","2.807","","","ETH","82","252","152","182"
