"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"54","DOM","2020-11-30","11","29","2020","334","2020-11-30","820","2","Dominican Republic","10738957","America","90.782","143473","2330","7.754","2310","0.01","Latin America & Caribbean","-0.4","52.056","35.2","15.748","10.627","352826","399883","","2744500000","219.979","29.849","3.947","0","6.486","1.498","29.956","27.977","7","44.157","0","0","0","0","0.544","0.806","-0.817","0.85","-0.7","0.96","","14.141","22.279","0","-0.13","2","0","67","126","67","67","0.015","","0","","","","0","25.8","0.291","0.429","0.312","0.387","1.543","26.5","38.3","219.979","73.689","3.04","37.1","149.4","160","93.8","61.2","82.7","428","0.7","16.1","47.3","3","1","7.083","2.363","5.394","","","","","","","","","","","","","-59","","","","","","","","","","","26.5","109.3","","","","","","219.249","5.395","","","DOM","73","261","85","249"
"141","NIC","2020-11-30","11","29","2020","334","2020-11-30","0","0","Nicaragua","6545503","America","1.879","5784","160","5.081","159","0.006","Latin America & Caribbean","-0.802","93.255","","4.91","6.466","145203","194073","","359200000","53.727","16.208","0.662","0","13.708","","59.75","30.202","6","42.98","0.251","0.449","3","0.127","-0.185","-1.029","-0.355","0.548","-1.504","0.76","","12.412","20.944","1","0.689","2","0","","605","605","605","0.002","","0","","","","0","23.1","0.14","0.484","0.429","0.402","3.075","12.2","43.1","53.727","74.068","3.135","39.9","91.4","90","78","61.2","76.3","297","0.7","45.9","39.2","7","1","5.247","1.866","3.984","","","","","","","","","","","","","-19","","","","","","","","","","","25.5","262.433","","","","","","24.747","3.248","","","NIC","112","222","143","191"
"190","TUN","2020-11-30","11","29","2020","334","2020-11-30","1271","66","Tunisia","11694721","Africa","135.506","96251","3219","8.077","2821","0.146","Middle East & North Africa","-0.105","110.957","","11.094","11.565","432113","529652","15.268","988942901.04","74.441","19.807","0.504","1.547","","25.461","14.426","24.17","7","39.05","0.039","0.078","0","0","2.344","1.532","-0.052","0.892","1.652","0.389","","15.519","19.317","0","0.37","","0","","1718","1670","1670","0.001","","0","3","","","0","30.3","0.648","0.039","0.01","0.039","3.06","80","33.7","74.441","76.31","3.459","26.3","128.9","230","79","69.4","93.1","457","0.7","24","39.1","4","1","8.316","2.448","4.31","","","","","","","","","","","","","","","","","","","","","","","","25.633","43.8","","","","","","278.335","5.632","","","TUN","72","262","92","242"
"160","ROU","2020-11-30","11","29","2020","334","2020-11-30","5554","148","Romania","19414458","Europe","573.052","471536","11193","9.323","10047","0.114","Europe & Central Asia","-0.253","86.495","","24.538","19.466","1430188","2139534","15.406","7343560129.252","84.64","9.353","1.163","0.316","46.86","32.643","61.833","15.535","9","33.15","0.293","0.497","2","0.092","0.972","1.19","0.138","0.878","-0.384","0.396","10.152","7.071","19.27","0","0.37","4","","295","1705","295","295","0.003","6.054","0","","1","","0","39.4","0.587","0.307","0.237","0.3","2.197","94.3","45.8","84.64","75.31","2.788","42.8","266.9","630","98.6","78.3","81.8","901","0.8","36.7","35.3","3","1","18.338","2.969","4.438","","","","","","","","","","","","","-44.6","","","","","","","","","","","17.233","23.3","","","","","","574.998","6.356","","","ROU","67","267","84","250"
"152","POL","2020-11-30","11","29","2020","334","2020-11-30","11482","283","Poland","37972812","Europe","716.573","985075","17029","9.743","13618","0.26","Europe & Central Asia","0.663","107.744","","28.786","37.975","2617976","4034163","16.043","16697000000","124.036","4.655","1.604","0.035","43.788","40.684","38.753","15.052","10","30.087","0.078","0.149","3","0.015","0.515","1.028","1.388","0.849","0.587","0.138","","22.257","17.672","1","0.37","2","0","1329","74","1329","74","0.014","7.7","0","","","","0","38.8","0.671","0.118","0.171","0.047","3.445","97.5","55.4","124.036","77.851","2.815","61.7","229","650","94.5","82.4","98.1","1244","0.9","48.9","47.5","0","1","17.517","3.637","4.821","","","","","","","","","","","","","-21","","","","","","","","","","","15.667","43","","","","","","448.43","6.108","","","POL","68","266","84","250"
"200","VEN","2020-11-30","11","29","2020","334","2020-11-30","516","6","Venezuela","28515829","America","16.44","102040","894","6.797","871","0.025","Latin America & Caribbean","-1.582","","","","28.87","930406","1167747","14.575","956000000","32.731","32.352","4.515","","","","","27.667","-3","37.483","0.265","0.495","2","0.152","-0.65","-0.483","-2.354","0.709","-1.984","0.973","","7.834","17.519","1","0.432","2","0","","1531","270","270","0.004","","0","","","","0","27","0.142","0.497","0.135","0.483","2.78","100","23","32.731","72.246","3.42","8.7","192.5","80","97.1","67.8","94.9","973","0.8","12.9","19.7","14","1","7.268","3.363","3.488","","","","","","","","","","","","","-44.6","","","","","","","","","","","25.7","211.633","","","","","","30.966","3.465","","","VEN","74","260","112","222"
"86","HUN","2020-11-30","11","29","2020","334","2020-11-30","5595","151","Hungary","9772756","Europe","712.859","217122","4823","8.481","3891","0.229","Europe & Central Asia","0.487","165.504","","28.465","9.776","706752","1166031","17.257","-65454432832.877","107.907","18.011","4.562","0.097","","30.927","","14.412","10","27.562","0.185","0.343","1","0.05","0.095","0.959","0.678","0.873","0.214","0.192","","28.128","16.616","1","-0.375","3","0","","","758","758","0.001","6.646","0","","","","0","40.6","0.517","0.152","0.524","0.186","2.882","100","54","107.907","76.063","2.788","55.5","309.3","700","99.1","82.1","98","1293","0.8","36.6","52.2","0","1","19.158","2.28","4.681","","","","","","","","","","","","","-23.6","","","","","","","","","","","18.2","37.8","","","","","","493.373","6.203","","","HUN","70","264","84","250"
"148","PAN","2020-11-30","11","29","2020","334","2020-11-30","1276","21","Panama","4246440","America","425.674","164729","3060","8.026","2957","0.032","Latin America & Caribbean","-0.019","","37.1","22.674","4.177","157520","181003","16.376","5915110000","56.186","42.699","4.701","0","17.883","","51.117","27.062","9","46.763","0.339","0.587","4","0.198","1.925","1.018","0.935","0.694","0.847","0.345","","13.039","16.329","0","0.687","3","","","1516","1516","1516","0.001","","0","","","","0","27.9","0.612","0.553","0.334","0.507","2.724","51.8","43.7","56.186","78.149","3.458","44.6","159.4","230","94.1","68.3","76.9","1148","0.8","35.1","46.4","3","1","8.105","1.43","4.029","","","","","","","","","","","","","-62.6","","","","","","","","","","","25.633","314.633","","","","","","732.605","6.598","","","PAN","71","263","87","247"
"123","MEX","2020-11-30","11","29","2020","334","2020-11-30","6388","196","Mexico","127575529","America","78.815","1107071","105655","11.568","101676","0.04","Latin America & Caribbean","-0.153","80.448","36.4","18.134","126.191","4101778","5013893","17.983","37495592533","64.915","40.709","0.939","1.724","41.889","11.483","32.526","26.557","8","45.186","0.336","0.59","2","0.192","1.622","0.191","-0.805","0.872","-0.272","0.451","15.717","19.01","16.255","1","0.763","4","1","1603","1573","507","507","0.002","","0","","","","0","27","0.487","0.542","0.18","0.542","2.689","85.6","57.6","64.915","74.947","3.653","71.2","223.1","150","94.9","66.3","89.2","507","0.8","46.9","50.8","5","1","7.224","4.838","4.173","","","","","","","","","","","","","-48","","","","","","","","","","","24.4","130.633","","","","","","837.264","6.731","","","MEX","58","276","87","247"
"80","GTM","2020-11-30","11","29","2020","334","2020-11-30","173","5","Guatemala","17581476","America","40.304","121971","4166","8.335","4076","0.021","Latin America & Caribbean","-0.682","45.805","","7.509","17.248","370834","459149","11.89","1051500000","160.954","16.53","0.467","0.124","3.987","3.525","59.113","34.435","8","45.12","0.504","0.994","3","0.52","1.466","0.362","-0.327","0.579","0.161","0.737","","21.925","16.244","0","-0.997","4","1","","1192","1192","1192","0.001","","0","","","","0","19.4","0.495","0.512","0.375","0.493","2.613","30","32.7","160.954","73.81","3.287","50","89.7","60","81.3","51.5","67.4","172","0.7","11.4","25","8","1","4.812","2.848","5.081","","","","","","","","","","","","","-45.6","","","","","","","","","","","24.7","328.933","","","","","","241.538","5.491","","","GTM","80","254","113","221"
